company_name,symbol,scripcode
Lakshmi Electrical Control Systems Ltd.,LAKSELECON,504258.0
Modulex Construction Technologies Ltd.,,504273.0
Delta Manufacturing Ltd.,DELTAMAGNT,504286.0
Longspur International Ventures Ltd.,,504340.0
Ravindra Energy Ltd.,,504341.0
GD Trading & Agencies Ltd.,,504346.0
Empower India Ltd.,,504351.0
Multipurpose Trading & Agencies Ltd.,,504356.0
IDream Film Infrastructure Company Ltd.,,504375.0
Nyssa Corporation Ltd.,,504378.0
Flomic Global Logistics Ltd.,,504380.0
Krishna Ventures Ltd.,,504392.0
Ganesh Holdings Ltd.,,504397.0
SJ Corporation Ltd.,,504398.0
Uni Abex Alloy Products Ltd.,,504605.0
Sarda Energy & Minerals Ltd.,SARDAEN,504614.0
Bhagwati Autocast Ltd.,,504646.0
Bombay Wire Ropes Ltd.,,504648.0
Galada Power & Telecommunication Ltd.,GALPOWTEL,504697.0
Indian Bright Steel Company Ltd.,,504731.0
Indian Hume Pipe Company Ltd.,INDIANHUME,504741.0
Indian Link Chain Manufacturers Ltd.,,504746.0
Investment & Precision Castings Ltd.,,504786.0
Informed Technologies India Ltd.,,504810.0
Kaira Can Company Ltd.,,504840.0
Orient Ceratech Ltd.,ORIENTCER,504879.0
National Standard (India) Ltd.,,504882.0
Rathi Steel & Power Ltd.,,504903.0
Duncan Engineering Ltd.,,504908.0
Sandur Manganese & Iron Ores Ltd.,SANDUMA,504918.0
Stovec Industries Ltd.,,504959.0
Tayo Rolls Ltd.,TATAYODOGA,504961.0
Cholamandalam Financial Holdings Ltd.,CHOLAHLDNG,504973.0
Welcast Steels Ltd.,,504988.0
Western Ministil Ltd.,,504998.0
Automotive Axles Ltd.,AUTOAXLES,505010.0
Automobile Corporation of Goa Ltd.,AUTOCORP,505036.0
Setco Automotive Ltd.,SETCO,505075.0
India Radiators Ltd.,,505100.0
Scooters India Ltd.,,505141.0
Talbros Automotive Components Ltd.,TALBROAUTO,505160.0
ZF Steering Gear (India) Ltd.,ZFSTEERING,505163.0
SML Isuzu Ltd.,SMLISUZU,505192.0
TIL Ltd.,TIL,505196.0
Eicher Motors Ltd.,EICHERMOT,505200.0
Jainex Aamcol Ltd.,,505212.0
Alfred Herbert (India) Ltd.,ALFREDHERB,505216.0
Veljan Denison Ltd.,,505232.0
Dynamatic Technologies Ltd.,DYNAMATECH,505242.0
G.G. Dandekar Properties Ltd.,,505250.0
GMM Pfaudler Ltd.,GMMPFAUDLR,505255.0
Kirloskar Pneumatic Company Ltd.,KIRLPNU,505283.0
Tulive Developers Ltd.,,505285.0
KPT Industries Ltd.,,505299.0
Lakshmi Automatic Loom Works Ltd.,,505302.0
Lynx Machinery & Commercials Ltd.,,505320.0
Manugraph India Ltd.,MANUGRAPH,505324.0
Harshil Agrotech Ltd.,,505336.0
Monotype India Ltd.,,505343.0
Nesco Ltd.,NESCO,505355.0
Integra Engineering India Ltd.,,505358.0
Semac Consultants Ltd.,SEMAC,505368.0
Texmaco Infrastructure & Holdings Ltd.,TEXINFRA,505400.0
Wendt (India) Ltd.,WENDT,505412.0
PS IT Infrastructure & Services Ltd.,,505502.0
Sindu Valley Technologies Ltd.,,505504.0
Responsive Industries Ltd.,RESPONIND,505509.0
Shyamkamal Investments Ltd.,,505515.0
HEM Holdings & Trading Ltd.,,505520.0
Maharashtra Corporation Ltd.,,505523.0
Dolat Algotech Ltd.,DOLATALGO,505526.0
Westlife Foodworld Ltd,WESTLIFE,505533.0
